,protein_path,ligand,PDB_fn,PDB,PDB_chain,LIG,PDB_chain_LIG,ro_label,lo_label
197,docking_poses/receptor/CDK2_fastH_pdbqt/8FOW_A_01.pdbqt,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,8FOW_A_01,8FOW,8FOW_A,ATP,8FOW_A_ATP,1,0
198,docking_poses/receptor/CDK2_fastH_pdbqt/7S9X_A_01.pdbqt,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,7S9X_A_01,7S9X,7S9X_A,ATP,7S9X_A_ATP,1,0
199,docking_poses/receptor/CDK2_fastH_pdbqt/7RXO_A_01.pdbqt,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,7RXO_A_01,7RXO,7RXO_A,ATP,7RXO_A_ATP,1,0
200,docking_poses/receptor/CDK2_fastH_pdbqt/7S84_A_01.pdbqt,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,7S84_A_01,7S84,7S84_A,ATP,7S84_A_ATP,1,0
201,docking_poses/receptor/CDK2_fastH_pdbqt/7S85_A_01.pdbqt,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,7S85_A_01,7S85,7S85_A,ATP,7S85_A_ATP,1,0
202,docking_poses/receptor/CDK2_fastH_pdbqt/7S4T_A_01.pdbqt,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,7S4T_A_01,7S4T,7S4T_A,ATP,7S4T_A_ATP,1,0
203,docking_poses/receptor/CDK2_fastH_pdbqt/8FP0_A_01.pdbqt,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,8FP0_A_01,8FP0,8FP0_A,ATP,8FP0_A_ATP,1,0
204,docking_poses/receptor/CDK2_fastH_pdbqt/7RWF_A.pdbqt,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,7RWF_A,7RWF,7RWF_A,ATP,7RWF_A_ATP,1,0
205,docking_poses/receptor/CDK2_fastH_pdbqt/3PXF_A.pdbqt,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,3PXF_A,3PXF,3PXF_A,ATP,3PXF_A_ATP,3,0
206,docking_poses/receptor/CDK2_fastH_pdbqt/3PXQ_A_01.pdbqt,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,3PXQ_A_01,3PXQ,3PXQ_A,ATP,3PXQ_A_ATP,3,0
